Date,Year,Applicants,Accepted,Starters,Finishers,Raised,Official charity
29/03/1981,1981,20000,7747,7055,6255,NA,NA
9/05/1982,1982,90000,18059,16350,15116,NA,NA
17/04/1983,1983,60000,19735,16500,15793,NA,NA
13/05/1984,1984,70000,21142,16992,15675,NA,NA
21/04/1985,1985,83000,22274,17500,15873,NA,NA
20/04/1986,1986,80000,25566,19261,18067,NA,British Sports Association for the Disabled (autistic)
10/05/1987,1987,80000,28364,21485,19586,NA,Farnham Park Trust
17/04/1988,1988,73000,29979,22469,20932,NA,SportsAid
23/04/1989,1989,72000,31772,24452,22701,NA,The Evelina Family TrustSpecial Olympics
22/04/1990,1990,73000,34882,26500,25013,NA,Battle of Britain AppealCommunity Action Trust
21/04/1991,1991,79000,33485,24500,23435,NA,Action on AddictionRoyal Marsden Cancer Research
12/04/1992,1992,83000,34250,24500,23833,NA,Guy's HospitalEvelina London Children's HospitalTuskforce
18/04/1993,1993,68000,35820,25000,24495,NA,St John AmbulanceSnowden Award Scheme
17/04/1994,1994,72000,37379,26000,25242,NA,British Heart FoundationChildline
2/04/1995,1995,79000,39097,27000,25377,NA,Leonard Cheshire DisabilityCancer Relief Macmillan
21/04/1996,1996,68000,39173,27134,26806,NA,British Heart FoundationNational Asthma Campaign
13/04/1997,1997,78000,39813,29500,29189,NA,British Heart FoundationNSPCC
26/04/1998,1998,96000,42228,30663,29972,NA,"Age ConcernDiana, Princess of Wales Memorial Fund"
18/04/1999,1999,87000,43774,31582,30849,NA,Whizz-KidzLeukaemia Research
16/04/2000,2000,93000,42596,32620,31698,NA,Mencap
22/04/2001,2001,92000,43517,31156,30318,NA,MS Society
14/04/2002,2002,99000,46083,33297,32950,NA,Outward BoundFCWL
13/04/2003,2003,111000,45629,32746,32324,NA,Shelter
18/04/2004,2004,108000,45219,32746,32012,NA,SenseBritish Heart Foundation
17/04/2005,2005,132000,47969,35600,35300,NA,Help the Hospices
23/04/2006,2006,119000,47020,33578,33250,NA,The Stroke AssociationAnthony Nolan
22/04/2007,2007,128000,50039,36396,35729,46.5,WellChild
13/04/2008,2008,120000,48630,35037,34637,46.7,Heart UKSpinal Injuries Association
26/04/2009,2009,155000,49995,35884,35404,47.2,The Children's Trust
25/04/2010,2010,163000,51378,36956,36666,50.6,CLIC Sargent
17/04/2011,2011,163926,50532,35303,34872,51.8,Oxfam
22/04/2012,2012,170150,50200,37227,36812,52.8,TeamPB (Prostate Cancer Charity)(Breast Cancer Care)
21/04/2013,2013,167449,48323,34631,34381,53,YouthNetAge UK
13/04/2014,2014,169682,49872,36337,35977,53.2,Anthony Nolan
26/04/2015,2015,172888,51696,38020,37793,54.1,Cancer Research UK
24/04/2016,2016,247069,53152,39523,39140,59.4,NSPCC
23/04/2017,2017,253930,53229,40048,39487,61.5,Heads Together
22/04/2018,2018,386050,54685,40926,40220,63.7,Teenage Cancer Trust
28/04/2019,2019,414168,56398,42906,42549,66.4,Dementia Revolution
